second,p99_latency_ms,cpu_cores
230,124.18,2.0000
231,73.98,2.0000
232,130.73,2.0000
233,165.11,2.0000
234,168.79,2.0000
235,123.75,2.0000
236,124.05,2.0000
237,124.35,2.0000
238,124.17,2.0000
239,125.81,2.0000
240,128.90,2.0000
241,125.40,2.0000
242,131.07,2.0000
243,164.88,2.0000
244,129.38,2.0000
245,123.35,2.0000
246,125.70,2.0000
247,117.56,2.0000
248,124.90,2.0000
249,132.73,2.0000
250,178.46,2.0000
251,124.91,2.0000
252,128.59,2.0000
253,116.98,2.0000
254,304.51,2.0000
255,133.61,2.0000
256,299.86,2.0000
257,848.26,2.0000
258,765.26,2.0000
259,944.39,2.0000
260,1039.43,2.0000
261,1004.75,2.0000
262,941.88,2.0000
263,1297.57,2.0000
264,958.86,2.0000
265,1016.86,2.0000
266,1238.02,2.0000
267,1106.74,2.0000
268,1298.81,2.0000
269,958.29,2.0000
270,1281.19,2.0000
271,1151.66,2.0000
272,1299.52,2.0000
273,1408.41,2.0000
274,1401.84,2.0000
275,1065.90,2.0000
276,1111.95,2.0000
277,1321.69,2.0000
278,1424.96,2.0000
279,1390.20,2.0000
280,1254.04,2.0000
281,1829.03,2.0000
282,1331.82,2.0000
283,1486.53,2.0000
284,1358.80,2.0000
285,1413.06,2.0000
286,1296.15,2.0000
287,1435.52,2.0000
288,1304.59,2.0000
289,1517.47,2.0000
290,1138.42,2.0000
291,1317.23,2.0000
292,1331.28,2.0000
293,1146.38,2.0000
294,1721.02,2.0000
295,1226.68,3.0000
296,1100.32,3.0000
297,1316.89,3.0000
298,1407.33,3.0000
299,1614.42,3.0000
300,645.55,3.0000
301,770.11,3.0000
302,531.04,3.0000
303,604.61,3.0000
304,810.73,3.0000
305,506.50,3.0000
306,522.05,3.0000
307,489.24,3.0000
308,521.71,3.0000
309,461.73,3.0000
310,625.74,3.0000
311,559.48,3.0000
312,551.96,3.0000
313,480.67,3.0000
314,434.60,3.0000
315,715.51,3.0000
316,742.77,3.0000
317,606.08,3.0000
318,522.74,3.0000
319,366.27,3.0000
320,683.08,3.0000
321,741.98,3.0000
322,538.73,3.0000
323,377.66,3.0000
324,717.62,3.0000
325,735.52,3.0000
326,540.26,3.0000
327,562.00,3.0000
328,547.75,3.0000
329,491.54,3.0000
330,433.05,3.0000
331,511.52,3.0000
332,400.76,3.0000
333,549.66,3.0000
334,585.93,3.0000
335,665.77,3.0000
336,483.75,3.0000
337,494.26,3.0000
338,565.84,3.0000
339,639.93,3.0000
340,658.15,3.0000
341,613.25,3.0000
342,743.20,3.0000
343,685.86,3.0000
344,532.36,3.0000
345,650.27,3.0000
346,599.13,3.0000
347,430.97,3.0000
348,607.72,3.0000
349,602.01,3.0000
350,491.70,3.0000
351,408.83,3.0000
352,637.60,3.0000
353,565.94,3.0000
354,446.09,3.0000
355,474.40,3.0000
356,505.27,3.0000
357,508.56,3.0000
358,406.62,3.0000
359,541.98,3.0000
360,573.16,3.0000
361,498.15,3.0000
362,427.83,3.0000
363,548.63,3.0000
364,595.02,3.0000
365,298.45,3.0000
366,368.76,3.0000
367,794.08,3.0000
368,321.16,3.0000
369,434.13,3.0000
370,439.05,3.0000
371,428.21,3.0000
372,390.67,4.0000
373,437.06,5.0000
374,538.55,5.0000
375,392.70,5.0000
376,261.20,5.0000
377,360.66,5.0000
378,381.16,5.0000
379,489.95,5.0000
380,357.14,5.0000
381,307.03,5.0000
382,288.74,5.0000
383,233.31,5.0000
384,235.94,5.0000
385,262.77,5.0000
386,350.54,5.0000
387,252.34,5.0000
388,254.36,5.0000
389,280.44,5.0000
390,392.32,5.0000
391,262.56,5.0000
392,240.27,5.0000
393,308.24,5.0000
394,253.14,5.0000
395,241.16,5.0000
396,313.95,5.0000
397,296.43,5.0000
398,422.86,5.0000
399,252.58,5.0000
400,261.31,5.0000
401,386.65,5.0000
402,274.22,5.0000
403,349.98,5.0000
404,385.42,5.0000
405,325.62,5.0000
406,329.41,5.0000
407,309.11,5.0000
408,353.91,5.0000
409,265.87,5.0000
410,314.89,5.0000
411,248.85,5.0000
412,270.24,5.0000
413,297.92,5.0000
414,271.51,5.0000
415,251.67,5.0000
416,239.54,5.0000
417,287.01,5.0000
418,253.12,5.0000
419,198.30,5.0000
420,215.48,5.0000
421,242.17,5.0000
422,266.81,5.0000
423,210.63,5.0000
424,219.86,5.0000
425,246.08,5.0000
426,242.84,5.0000
427,243.57,5.0000
428,253.18,5.0000
429,237.86,5.0000
430,245.43,5.0000
431,193.46,5.0000
432,249.08,5.0000
433,148.09,5.0000
434,183.58,5.0000
435,260.82,5.0000
436,154.90,5.0000
437,124.19,5.0000
438,115.44,5.0000
439,133.48,5.0000
440,162.22,5.0000
441,111.60,5.0000
442,135.52,5.0000
443,137.17,5.0000
444,150.53,5.0000
445,119.47,5.0000
446,146.45,5.0000
447,157.29,5.0000
448,116.78,5.0000
449,160.41,5.0000
450,172.58,5.0000
451,138.40,5.0000
452,165.82,5.0000
453,173.76,5.0000
454,118.31,5.0000
455,147.60,5.0000
456,120.93,5.0000
457,145.50,5.0000
458,119.78,5.0000
459,121.57,5.0000
460,114.77,5.0000
461,155.25,5.0000
462,142.92,5.0000
463,163.07,5.0000
464,169.97,5.0000
465,142.97,5.0000
466,117.90,5.0000
467,121.71,5.0000
468,132.50,5.0000
469,118.93,5.0000
470,156.99,5.0000
471,128.09,5.0000
472,118.35,5.0000
473,113.11,5.0000
474,154.96,5.0000
475,123.81,5.0000
476,113.49,5.0000
477,156.37,5.0000
478,117.97,5.0000
479,118.72,5.0000
480,116.21,5.0000
481,157.66,5.0000
482,117.24,5.0000
483,116.58,5.0000
484,128.82,5.0000
485,115.77,5.0000
486,118.17,5.0000
487,116.09,5.0000
488,129.55,5.0000
489,132.94,5.0000
490,138.26,5.0000
491,115.25,5.0000
492,112.24,5.0000
493,111.62,5.0000
494,154.15,5.0000
495,127.43,5.0000
496,110.91,5.0000
497,117.58,5.0000
498,118.66,5.0000
499,115.56,4.0000
500,171.82,4.0000
501,163.03,4.0000
502,267.85,4.0000
503,126.09,4.0000
504,124.08,4.0000
505,148.96,4.0000
506,176.89,4.0000
507,126.10,4.0000
508,158.61,4.0000
509,163.86,4.0000
510,123.60,4.0000
511,119.75,4.0000
512,127.81,4.0000
513,127.60,4.0000
514,124.34,4.0000
515,149.61,4.0000
516,122.74,4.0000
517,166.75,4.0000
518,126.09,4.0000
519,102.87,4.0000
520,164.03,4.0000
521,126.87,4.0000
522,114.75,4.0000
523,121.15,4.0000
524,121.70,4.0000
525,121.27,4.0000
526,124.66,4.0000
527,127.55,4.0000
528,145.93,4.0000
529,125.94,4.0000
530,122.41,4.0000
531,124.07,4.0000
532,123.59,4.0000
533,124.47,4.0000
534,132.81,4.0000
535,124.77,4.0000
536,118.96,4.0000
537,120.88,4.0000
538,119.53,4.0000
539,172.68,4.0000
540,154.68,4.0000
541,115.83,4.0000
542,110.70,4.0000
543,137.14,4.0000
544,126.44,4.0000
545,117.49,4.0000
546,122.08,4.0000
547,143.83,4.0000
548,121.36,4.0000
549,125.46,4.0000
550,134.79,4.0000
551,170.98,4.0000
552,131.87,4.0000
553,128.32,4.0000
554,130.95,4.0000
555,126.48,4.0000
556,118.79,3.0000
557,154.68,3.0000
558,114.92,3.0000
559,120.13,3.0000
560,307.71,3.0000
561,226.31,3.0000
562,305.79,3.0000
563,323.03,3.0000
564,497.60,3.0000
565,321.73,3.0000
566,480.12,3.0000
567,338.37,3.0000
568,488.07,3.0000
569,487.32,3.0000
570,304.94,3.0000
571,302.18,3.0000
572,311.90,2.0000
573,325.16,2.0000
574,247.14,2.0000
575,482.54,2.0000
576,222.34,2.0000
577,307.42,2.0000
578,405.90,2.0000
579,256.31,2.0000
580,220.44,2.0000
581,137.90,2.0000
582,138.42,2.0000
583,248.77,2.0000
584,390.72,2.0000
585,312.48,2.0000
586,300.90,2.0000
587,170.23,2.0000
588,255.69,2.0000
589,220.08,2.0000
590,573.94,2.0000
591,93.87,2.0000
592,314.93,2.0000
593,121.76,2.0000
594,191.19,2.0000
595,294.11,2.0000
596,174.42,2.0000
597,214.84,2.0000
598,243.00,2.0000
599,323.47,2.0000
600,467.68,2.0000
601,404.80,1.0000
602,162.53,1.0000
603,162.87,1.0000
604,398.65,1.0000
605,409.18,1.0000
606,491.98,1.0000
607,396.55,1.0000
608,487.42,1.0000
609,310.97,1.0000
610,169.92,1.0000
611,176.43,1.0000
612,279.99,1.0000
613,173.21,1.0000
614,205.10,1.0000
615,292.87,1.0000
616,118.34,1.0000
617,366.43,1.0000
618,118.53,1.0000
619,142.93,1.0000
620,142.92,1.0000
621,482.12,1.0000
622,177.06,1.0000
623,180.71,1.0000
624,132.11,1.0000
625,285.85,1.0000
626,121.48,1.0000
627,121.79,1.0000
628,111.96,1.0000
629,128.27,1.0000
